OK
11:02:53 EXEC    0     0     3347    htop             
11:02:53 OPEN    -100  3     3347    htop             /etc/ld.so.cache
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libncursesw.so.6
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libtinfo.so.6
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libm.so.6
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libnl-3.so.200
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libnl-genl-3.so.200
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libc.so.6
11:02:53 OPEN    -100  3     3347    htop             /usr/lib/locale/locale-archive
11:02:53 OPEN    -100  3     3347    htop             /usr/share/locale/locale.alias
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/locale/C.UTF-8/LC_CTYPE
11:02:53 OPEN    -100  3     3347    htop             /usr/lib/locale/C.utf8/LC_CTYPE
11:02:53 OPEN    -100  3     3347    htop             /usr/lib/aarch64-linux-gnu/gconv/gconv-modules.cache
11:02:53 OPEN    -100  3     3347    htop             /etc/ld.so.cache
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/tls/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/tls/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/tls/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/tls/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64-linux-gnu/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/tls/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/tls/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/tls/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/tls/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64-linux-gnu/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/tls/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/tls/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/tls/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/tls/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /lib/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/tls/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/tls/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/tls/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/tls/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/aarch64/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/atomics/libsensors.so
11:02:53 OPEN    -100  -2    3347    htop             /usr/lib/libsensors.so
11:02:53 OPEN    -100  3     3347    htop             /etc/ld.so.cache
11:02:53 OPEN    -100  3     3347    htop             /lib/aarch64-linux-gnu/libsensors.so.5
11:02:53 OPEN    -100  3     3347    htop             /sys/class/i2c-adapter
11:02:53 OPEN    -100  3     3347    htop             /sys/class/hwmon
11:02:53 OPEN    -100  3     3347    htop             /etc/sensors3.conf
11:02:53 OPEN    -100  3     3347    htop             /etc/sensors.d
11:02:53 OPEN    -100  3     3347    htop             /home/rstiuca.linux/.config/htop/htoprc
11:02:53 OPEN    -100  3     3347    htop             /lib/terminfo/x/xterm-256color
11:02:53 OPEN    -100  -2    3347    htop             /sys/block/zram0/disksize
11:02:53 OPEN    -100  -2    3347    htop             /sys/block/zram0/mm_stat
11:02:53 OPEN    -100  3     3347    htop             /proc
11:02:53 OPEN    3     4     3347    htop             1
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    -100  5     3347    htop             /etc/nsswitch.conf
11:02:53 OPEN    -100  5     3347    htop             /etc/passwd
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    4     5     3347    htop             comm
11:02:53 OPEN    -100  5     3347    htop             /etc/localtime
11:02:53 OPEN    3     4     3347    htop             2
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             3
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             4
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             5
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             6
